id,lat,lon,timestamp,src,title,caption
001,37.738409,-119.569432,2025-08-08T02:53:00-07:00,photos/001.jpeg,Curry Village Parking Lot,"Since we didn’t have a place to stay the night before the permit date (this was all very last minute), we left San Francisco at 7 p.m. the prior evening, arrived in Yosemite at midnight, and found our way to the Curry Village parking lot. Since sleeping in your car overnight isn't allowed, I’ll say we ""rested"" for an hour and a half. That’s clearly not enough sleep for a hike like this, but that’s what we had to work with. We got up at 2:45 a.m., in the dead of night, and geared up. (Photo by Griffin)"
002,37.73023,-119.55794,2025-08-08T04:13:00-07:00,photos/002.jpeg,Mist Trail Sign,"We cycled to Happy Isles, where we parked our bikes, then made our way to the Mist Trail. It was 4 a.m., and the top of Half Dome was a ""mere"" 8.2 miles away."
003,37.72654,-119.5431,2025-08-08T04:58:00-07:00,photos/003.jpeg,Vernal Fall Steps,"For the first hour or so, we ran into a few people and groups, but mostly we were alone. I wondered how it would be hiking the steep steps along Vernal Fall by headlamp. As long as you keep your light and eyes focused on the next step, it’s fine. Otherwise, it can be a bit disorienting staring into the darkness as you're ascending the uneven stairs."
004,37.72704722,-119.54304444,2025-08-08T05:15-07:00,photos/004.jpeg,Top of Vernal Fall,"We took our first break at 5 a.m. atop Vernal Fall, where we made salami and cheese sandwiches. This was the perfect time to refuel on actual food – and I wish I had done this more later in the hike, rather than rely heavily on packaged snacks that didn’t seem to sustain my energy levels the same way."
005,37.72633611,-119.53398056,2025-08-08T05:59-07:00,photos/005.jpeg,Below Nevada Fall,"We were in darkness for less than 2 hours. By 6 a.m., we had full light as we neared Nevada Fall. Hiking while the air was still cool and the sun wasn't blazing was ideal."
006,37.73220556,-119.52102778,2025-08-08T06:50-07:00,photos/006.jpeg,Golden Half Dome,"About 40 minutes later, we were treated to our first close-up view of Half Dome, which emanated a vibrant gold color, courtesy of the rising sun. We couldn’t help but stare, with a mixture of awe for its beauty, as well as a bit of unease – we were headed to the top of this thing! (Photo by Whitney)"
007,37.74879444,-119.52721389,2025-08-08T09:15-07:00,photos/007.jpeg,Beginning of Sub Dome,"At 9:15 a.m., about five hours into our hike, we reached Sub Dome, a big hump that’s the last section before reaching the cables of Half Dome. The signage greeted us with ""stop"" (if you don’t have a permit), ""dangerous,"" ""deadly"" and ""turn back"" (if there’s lightning or rain), plus a picture of a skull and bones, I assume drawn by the park ranger. Other than that, welcome!"
008,37.74821111,-119.52755833,2025-08-08T09:26-07:00,photos/008.jpeg,Going Up Sub Dome,"The path up Sub Dome consists of steps, switchbacks and sections where there doesn’t seem to be one well-worn path. The Half Dome cables rightfully get all the attention, but don’t look past the Sub Dome. There are sharp drop-offs on either side, and the incline will get your heart pumping."
009,37.74671667,-119.52991389,2025-08-08T09:46-07:00,photos/009.jpeg,The Infamous Cables,"Half an hour after the ""welcome"" signs, we reached the top of Sub Dome and got our closest look yet of the cables. As other groups of hikers gathered in the same spot, looking at the dots of people along the 400-foot-long cable, we heard a lot of nervous chatter and motivational self-talk. My son Griffin’s expression sort of captured the vibe. (Photo by Whitney)"
010,37.74635833,-119.53088333,2025-08-08T10:09-07:00,videos/cables.mp4,Go Time,"After a quick snack, we got up, received a “good luck” and some encouraging smiles from friendlies in other hiking groups, and trotted down the short slope of Sub Dome to the base of the cables, where the face of the rock is not only steep, so are the drop-offs on the right and left. (Video by Griffin)"
